"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Run","Endurance","Custom","Custom","1","","4/30/2016","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","1.25","","5/1/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/1/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Easy stroll to see how leg feels.","Custom","Custom","2","","5/1/2016","","64373.76","","","","","2","8.9408","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","5/2/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Main set 20x100 left on 1:20under 1:15","Custom","Custom","1.5","","5/2/2016","","4389.12","","","","","1.25","0.97536","","","","","","","","0.363636363636364","6.01","","","","","","","","","","","","","","","","","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","5/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","3 1/2 mile hill repeats held 2:45-2:50 active jog down left on 5 min 4 1/4 mile repeats held 1:20 easy jog down left on 3 min Then did 5 sets of high knees as quick as possible 10sec 50sec recovery to promote turnover.","Custom","Custom","1","","5/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","5/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","2-3 hour aerobic","Custom","Custom","2","","5/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","2 runs 1st in am after swim did my drills with jogging in middle and some pick ups 2.25 miles 2nd was off bike ran hard for 2-3min than mild pace for couple min than hard than medium. 2.6 miles Did 8 sprints at end. Then did open water swim!","Custom","Custom","0.75","","5/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","5/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/6/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/6/2016","","15350","57","322","163.028"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.795083889431424","5.36100006103516","","47","","","","","","0.372736128106076","10.96","","","","","","","","","","","46","1","0","0","0","0","","","",""
"Other","","Custom","Custom","","","5/7/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/7/2016","","20842","42","345","172.778"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","1.14580919053819","5.11100006103516","","37","","","","","","0.476396251985772","25.89","","","","","","","","","","","62","3","2","1","0","1","","","",""
"Other","","Custom","Custom","","","5/8/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10min EASY w/u 95±5 rpm -2 x (90sec at FTPw, 3min EASY) -8 x (30sec MAX >XXXw, 3min EASY) -Easy c/d to :55","Custom","Custom","0.916666666666667","","5/9/2016","On spin bike?","","","","","","0.916666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","-400 EASY w/u -3 x 200 w/fins (100 kick on back, 50 catchup, 50 swim) 7 x (5 x 50 come in under :35 and leave on :50) with 1min rest between sets of 5. -100 EASY -400 STEADY swim hold 1:15 -200 EASY w/d","Custom","Custom","1.08333","3154.67993164063","5/9/2016","","3154.67993164063","","",""," *05/09/2016 Jamie Brown: 400 at 4:48 and that hurt*","1.08333","0.808894796599374","","","","","","","","0.301574347959644","2.97","","","","","","","","","","","","","","","","","","","",""
